n,c,compression_time,prediction_time,compression_bytes,subvector_centroids_bytes,recall
4,8,1.9223368167877197,0.07327723503112793,40112,240,0.5830000000000001
4,9,2.64224910736084,0.08811712265014648,80112,240,0.6293
4,10,4.420523405075073,0.09939360618591309,80112,240,0.67
4,11,8.978615760803223,0.12313151359558105,80112,240,0.7268000000000001
8,8,4.0434184074401855,0.12468385696411133,80112,368,0.7019999999999998
8,9,6.794395923614502,0.10442352294921875,160112,368,0.7360000000000001
8,10,11.138283252716064,0.1765451431274414,160112,368,0.7785
8,11,22.638235330581665,0.21339821815490723,160112,368,0.8219
16,8,6.89284348487854,0.14676475524902344,160112,648,0.805
16,9,12.318945169448853,0.18412232398986816,320112,648,0.8441999999999998
16,10,22.26697015762329,0.17987346649169922,320112,648,0.8721
16,11,40.222399950027466,0.3373239040374756,320112,648,0.9016
32,8,10.393352031707764,0.29636597633361816,320112,1184,0.8858999999999998
32,9,17.24214220046997,0.34606218338012695,640112,1184,0.9181
32,10,33.94804644584656,0.3591117858886719,640112,1184,0.9395000000000002
32,11,79.27373743057251,0.585984468460083,640112,1184,0.9590999999999998
